head,lemma,dep,pos,sim,relations
ingrédient,cuisine,nmod,NOUN,0.726176381111145,"[{""id"": 2411936, ""node1"": 123418, ""node2"": 16033, ""type"": 0, ""w"": 291.0}, {""id"": 14687495, ""node1"": 123418, ""node2"": 16033, ""type"": 3, ""w"": 264.0}, {""id"": 31076959, ""node1"": 123418, ""node2"": 16033, ""type"": 152, ""w"": 135.0}, {""id"": 990177273, ""node1"": 123418, ""node2"": 16033, ""type"": 666, ""w"": 3.0}]"
cuisine,coréen,amod,ADJ,0.5163273215293884,"[{""id"": 914403853, ""node1"": 16033, ""node2"": 34302, ""type"": 0, ""w"": 20.0}]"
nom,mets,nmod,NOUN,0.4406270980834961,[]
mot,enfant,nmod,NOUN,0.4066107273101806,[]
goût,japonais,amod,ADJ,0.5430803298950195,[]
version,japonais,amod,ADJ,0.40277299284935,[]
station,grand,amod,ADJ,0.4344826638698578,[]
station,train,nmod,NOUN,0.4052988290786743,"[{""id"": 558784821, ""node1"": 127210, ""node2"": 27120, ""type"": 0, ""w"": 45.0}, {""id"": 514061688, ""node1"": 127210, ""node2"": 27120, ""type"": 23, ""w"": 3.0}, {""id"": 11346092, ""node1"": 127210, ""node2"": 27120, ""type"": 28, ""w"": 38.0}, {""id"": 990955455, ""node1"": 127210, ""node2"": 27120, ""type"": 666, ""w"": 3.0}, {""id"": 423951395, ""node1"": 127210, ""node2"": 27120, ""type"": 777, ""w"": 9.0}]"
apprécier,mets,nsubj:pass,NOUN,0.4745817184448242,[]
variété,connaître,amod,VERB,0.4544427692890167,[]
accompagnement,meilleur,amod,ADJ,0.4356406033039093,[]
projet,autre,amod,ADJ,0.4316383004188537,[]
