head,lemma,dep,pos,sim,relations
désigner,Sauce,advcl,PROPN,0.4595698714256286,[]
recette,sauce,nsubj,NOUN,0.7241796255111694,"[{""id"": 10576686, ""node1"": 120188, ""node2"": 141110, ""type"": 0, ""w"": 51.0}, {""id"": 9626260, ""node1"": 120188, ""node2"": 141110, ""type"": 8, ""w"": 22.0}]"
recette,base,nmod,NOUN,0.6212873458862305,[]
base,tomate,nmod,NOUN,0.6311788558959961,[]
recette,inspirer,acl,VERB,0.5487862229347229,[]
cuisine,italien,amod,ADJ,0.5664859414100647,"[{""id"": 15230771, ""node1"": 16033, ""node2"": 103658, ""type"": 0, ""w"": 252.0}, {""id"": 15094978, ""node1"": 16033, ""node2"": 103658, ""type"": 27, ""w"": 30.0}, {""id"": 15741751, ""node1"": 16033, ""node2"": 103658, ""type"": 666, ""w"": 1.0}, {""id"": 3982096, ""node1"": 16033, ""node2"": 103658, ""type"": 777, ""w"": 6.0}]"
recette,servir,acl,VERB,0.670497715473175,[]
désigner,sauce,nsubj:pass,NOUN,0.6501297950744629,"[{""id"": 373046669, ""node1"": 95874, ""node2"": 141110, ""type"": 14, ""w"": 31.0}]"
nom,salsa,nmod,NOUN,0.4704369306564331,[]
traduire,sauce,obj,NOUN,0.6354632377624512,[]
basilic,laurier,nmod,NOUN,0.5154432654380798,"[{""id"": 558771415, ""node1"": 112671, ""node2"": 114548, ""type"": 0, ""w"": 51.0}]"
basilic,thym,nmod,NOUN,0.5627551674842834,"[{""id"": 588329236, ""node1"": 112671, ""node2"": 3323, ""type"": 0, ""w"": 45.0}]"
grain,poivre,nmod,NOUN,0.6105920672416687,"[{""id"": 775213400, ""node1"": 57895, ""node2"": 139597, ""type"": 174, ""w"": 25.0}]"
clou,girofle,nmod,NOUN,0.433244377374649,"[{""id"": 9902807, ""node1"": 11651, ""node2"": 43873, ""type"": 0, ""w"": 55.0}, {""id"": 413873, ""node1"": 11651, ""node2"": 43873, ""type"": 8, ""w"": 111.0}]"
clou,olive,nmod,NOUN,0.5569372177124023,[]
inclure,carotte,obj,NOUN,0.5542269945144653,[]
végétarien,sauce,nsubj,NOUN,0.709192156791687,[]
sauce,base,nmod,NOUN,0.6639491319656372,"[{""id"": 651253426, ""node1"": 141110, ""node2"": 72257, ""type"": 0, ""w"": 25.0}]"
végétarien,possible,advcl,ADJ,0.5033749938011169,[]
viande,bœuf,nmod,NOUN,0.636695384979248,"[{""id"": 10577328, ""node1"": 140100, ""node2"": 168216, ""type"": 0, ""w"": 59.0}, {""id"": 9627859, ""node1"": 140100, ""node2"": 168216, ""type"": 8, ""w"": 95.0}, {""id"": 15173562, ""node1"": 140100, ""node2"": 168216, ""type"": 27, ""w"": 30.0}, {""id"": 646611390, ""node1"": 140100, ""node2"": 168216, ""type"": 666, ""w"": 1.0}]"
connaître,sauce,nsubj:pass,NOUN,0.6896051168441772,[]
sauce,désigner,acl,VERB,0.6501297950744629,"[{""id"": 373069830, ""node1"": 141110, ""node2"": 95874, ""type"": 26, ""w"": 30.0}]"
projet,autre,amod,ADJ,0.4316383004188537,[]
