head,lemma,dep,pos,sim,relations,relation_name,w
concerner,cuisine,obj,NOUN,0.6019042730331421,[],,
crème,desservir,amod,VERB,0.5778025388717651,[],,
préparation,base,nmod,NOUN,0.5450719594955444,[],,
base,lait,nmod,NOUN,0.6312020421028137,[],,
préparation,fleur,nmod,NOUN,0.5580519437789917,[],,
fleur,oranger,acl,VERB,0.4633012413978576,"[{""id"": 421883126, ""node1"": 28985, ""node2"": 33024, ""type"": 0, ""w"": 11.0}]",r_associated,11.0
eau,rose,nmod,NOUN,0.5769599676132202,"[{""id"": 459007855, ""node1"": 65012, ""node2"": 145583, ""type"": 17, ""w"": 26.0}]",r_carac,26.0
fruit,sec,amod,ADJ,0.5058633685112,"[{""id"": 796701053, ""node1"": 87286, ""node2"": 63619, ""type"": 0, ""w"": 24.0}, {""id"": 14805636, ""node1"": 87286, ""node2"": 63619, ""type"": 17, ""w"": 22.0}]",r_associated,24.0
eau,décoration,nmod,NOUN,0.5732492804527283,[],,
déguster,qui,nsubj,PRON,0.4823600649833679,[],,
desservir,déguster,advcl,VERB,0.4750934541225433,[],,
