head,lemma,dep,pos,sim,relations
concerner,gastronomie,obj,NOUN,0.4582444131374359,[]
plat,tofu,nmod,NOUN,0.6780369281768799,[]
plat,trouver,acl:relcl,VERB,0.6146748661994934,[]
morceau,tofu,nmod,NOUN,0.638712465763092,[]
obtention,couleur,nmod,NOUN,0.4691727459430694,[]
couleur,brun,amod,ADJ,0.4496252536773681,"[{""id"": 9901082, ""node1"": 40056, ""node2"": 14189, ""type"": 0, ""w"": 32.0}, {""id"": 252605, ""node1"": 40056, ""node2"": 14189, ""type"": 8, ""w"": 93.0}, {""id"": 3173217, ""node1"": 40056, ""node2"": 14189, ""type"": 106, ""w"": 1.0}, {""id"": 653326924, ""node1"": 40056, ""node2"": 14189, ""type"": 666, ""w"": 2.0}, {""id"": 3373324, ""node1"": 40056, ""node2"": 14189, ""type"": 777, ""w"": 6.0}]"
pousse,haricot,nmod,NOUN,0.4769931435585022,[]
sauce,épais,amod,ADJ,0.6617705821990967,[]
sauce,base,nmod,NOUN,0.6639491319656372,"[{""id"": 651253426, ""node1"": 141110, ""node2"": 72257, ""type"": 0, ""w"": 25.0}]"
base,échalote,nmod,NOUN,0.6248605847358704,[]
sauce,pâte,nmod,NOUN,0.7217959761619568,[]
pâte,crevette,nmod,NOUN,0.6596075296401978,[]
sauce,sauce,nmod,NOUN,0.6601590514183044,"[{""id"": 331997, ""node1"": 141110, ""node2"": 141110, ""type"": 19, ""w"": 146.0}]"
sauce,soja,acl,NOUN,0.6771727204322815,"[{""id"": 558755719, ""node1"": 141110, ""node2"": 78291, ""type"": 0, ""w"": 41.0}, {""id"": 246329893, ""node1"": 141110, ""node2"": 78291, ""type"": 8, ""w"": 31.0}, {""id"": 651031297, ""node1"": 141110, ""node2"": 78291, ""type"": 666, ""w"": 4.0}]"
servir,signifier,advcl,VERB,0.4435320794582367,[]
originaire,tofu,nsubj,NOUN,0.5766934156417847,[]
retrouver,ceci,nsubj,PRON,0.4547013640403747,[]
retrouver,tofu,obj,NOUN,0.5918419361114502,[]
Asie,tout,amod,ADJ,0.4109199643135071,[]
tofu,Asie,nmod,PROPN,0.5350032448768616,"[{""id"": 114833084, ""node1"": 216328, ""node2"": 42313, ""type"": 777, ""w"": 10.0}]"
régime,végétarien,amod,ADJ,0.4849532842636108,"[{""id"": 34518037, ""node1"": 127867, ""node2"": 101089, ""type"": 17, ""w"": 52.0}]"
régime,occidental,amod,ADJ,0.4191240072250366,[]
tofu,japonais,amod,ADJ,0.5572049617767334,"[{""id"": 417888971, ""node1"": 216328, ""node2"": 34713, ""type"": 0, ""w"": 33.0}, {""id"": 114833027, ""node1"": 216328, ""node2"": 34713, ""type"": 777, ""w"": 10.0}]"
tofu,épicé,amod,ADJ,0.6396351456642151,[]
utiliser,sauce,obj,NOUN,0.699379026889801,[]
type,tofu,nmod,NOUN,0.6168277263641357,[]
recette,autre,amod,ADJ,0.6219144463539124,[]
substituer,recette,nsubj,NOUN,0.6266988515853882,[]
substituer,sauce,obj,NOUN,0.6748518347740173,[]
recette,principal,amod,ADJ,0.6373938322067261,[]
