head,lemma,dep,pos,sim,relations,relation_name,w
concerner,cuisine,obj,NOUN,0.6019042730331421,[],,
cuisine,japonais,amod,ADJ,0.5706702470779419,[],,
mets,disposer,advcl,VERB,0.4981313943862915,[],,
donner,référence,obj,NOUN,0.4324645698070526,[],,
vouloir,mets,advcl,NOUN,0.4757570624351501,[],,
vouloir,tradition,nsubj,NOUN,0.4410772323608398,[],,
morceau,seul,amod,ADJ,0.4951575100421905,[],,
reste,année,nmod,NOUN,0.4267285764217376,[],,
débuter,coutume,nsubj,NOUN,0.4486831426620483,[],,
calendrier,solaire,amod,ADJ,0.4056622087955475,"[{""id"": 558732853, ""node1"": 78461, ""node2"": 24212, ""type"": 0, ""w"": 27.0}, {""id"": 3362371, ""node1"": 78461, ""node2"": 24212, ""type"": 777, ""w"": 8.0}]",r_associated,27.0
commencer,coutume,nsubj,PROPN,0.4626923501491546,[],,
projet,autre,amod,ADJ,0.4316383004188537,[],,
