node1,node2,relations
concerner,cuisine,[]
cuisine,japonais,[]
type,tofu,[]
type,fabriquer,[]
fabriquer,mélanger,[]
mélanger,légume,[]
blanc,œuf,"[{""id"": 796769193, ""node1"": 15196, ""node2"": 174124, ""type"": 0, ""w"": 28.0}]"
graine,sésame,"[{""id"": 797533486, ""node1"": 14469, ""node2"": 18404, ""type"": 0, ""w"": 29.0}, {""id"": 246270686, ""node1"": 14469, ""node2"": 18404, ""type"": 8, ""w"": 32.0}]"
avoir,goût,[]
faire,plat,[]
plat,similaire,"[{""id"": 541161746, ""node1"": 36327, ""node2"": 60988, ""type"": 17, ""w"": 26.0}]"
tofu,le,[]
