head,lemma,dep,pos,sim,relations
concerner,alimentation,obj,NOUN,0.410456508398056,[]
pâtisserie,belge,amod,ADJ,0.4107388854026794,[]
pâtisserie,forme,nmod,NOUN,0.5583813786506653,[]
pâtisserie,base,nmod,NOUN,0.5862658619880676,[]
base,pâte,nmod,NOUN,0.6559011340141296,[]
pâtisserie,tarte,nmod,NOUN,0.6386778354644775,"[{""id"": 255128, ""node1"": 25966, ""node2"": 575, ""type"": 0, ""w"": 131.0}, {""id"": 563933, ""node1"": 25966, ""node2"": 575, ""type"": 5, ""w"": 197.0}, {""id"": 2044437, ""node1"": 25966, ""node2"": 575, ""type"": 8, ""w"": 68.0}, {""id"": 376998764, ""node1"": 25966, ""node2"": 575, ""type"": 21, ""w"": 34.0}, {""id"": 15223730, ""node1"": 25966, ""node2"": 575, ""type"": 27, ""w"": 14.0}, {""id"": 11346561, ""node1"": 25966, ""node2"": 575, ""type"": 28, ""w"": 38.0}, {""id"": 369908605, ""node1"": 25966, ""node2"": 575, ""type"": 666, ""w"": 4.0}]"
tarte,contenir,acl,VERB,0.638501763343811,[]
contenir,garniture,obj,NOUN,0.5786925554275513,[]
garniture,fruit,nmod,NOUN,0.5933405756950378,[]
forme,triangulaire,amod,ADJ,0.419808566570282,"[{""id"": 10592609, ""node1"": 142000, ""node2"": 77404, ""type"": 0, ""w"": 24.0}, {""id"": 9665894, ""node1"": 142000, ""node2"": 77404, ""type"": 8, ""w"": -38.0}, {""id"": 33116364, ""node1"": 142000, ""node2"": 77404, ""type"": 17, ""w"": 70.0}]"
base,feuilleté,amod,ADJ,0.5518180131912231,[]
retrouver,faire,advcl,VERB,0.4492119252681732,[]
tarte,saupoudrer,acl,ADJ,0.653827428817749,"[{""id"": 1070434744, ""node1"": 575, ""node2"": 133415, ""type"": 26, ""w"": 21.0}]"
sucre,glace,nmod,NOUN,0.6416636109352112,"[{""id"": 134502, ""node1"": 139481, ""node2"": 141964, ""type"": 0, ""w"": 111.0}, {""id"": 144135, ""node1"": 139481, ""node2"": 141964, ""type"": 8, ""w"": -80.0}, {""id"": 186736, ""node1"": 139481, ""node2"": 141964, ""type"": 17, ""w"": -125.0}, {""id"": 639101499, ""node1"": 139481, ""node2"": 141964, ""type"": 141, ""w"": 25.0}, {""id"": 1763994, ""node1"": 139481, ""node2"": 141964, ""type"": 666, ""w"": 1.0}]"
coup,petit,amod,ADJ,0.4275083541870117,[]
sucre,surface,nmod,NOUN,0.6723507642745972,[]
pomme,courant,nsubj,NOUN,0.5760719776153564,[]
fruit,constituer,acl,VERB,0.4730834662914276,[]
ingrédient,même,amod,ADJ,0.5695657730102539,[]
ingrédient,présenter,acl,VERB,0.5757896900177002,[]
tirer,mot,nsubj,NOUN,0.4151631295681,[]
tarte,qui,nsubj,PRON,0.5677563548088074,[]
pomme,recouvrir,acl,VERB,0.6060970425605774,[]
couche,pâte,nmod,NOUN,0.6256560683250427,"[{""id"": 720819467, ""node1"": 19152, ""node2"": 34069, ""type"": 174, ""w"": 25.0}]"
