head,lemma,dep,pos,sim,relations,relation_name,w
plat,turc,nsubj,PRON,0.5314732193946838,[],,
plat,traditionnel,amod,ADJ,0.6021727323532104,"[{""id"": 93507621, ""node1"": 36327, ""node2"": 41139, ""type"": 17, ""w"": 35.0}]",r_carac,35.0
plat,Asie,nmod,PROPN,0.5470894575119019,[],,
plat,central,amod,ADJ,0.5837406516075134,[],,
plat,base,nmod,NOUN,0.6491852402687073,[],,
plat,préparer,acl,VERB,0.6393706202507019,"[{""id"": 892208256, ""node1"": 36327, ""node2"": 36246, ""type"": 0, ""w"": 21.0}, {""id"": 207663, ""node1"": 36327, ""node2"": 36246, ""type"": 25, ""w"": 110.0}, {""id"": 93507415, ""node1"": 36327, ""node2"": 36246, ""type"": 26, ""w"": 100.0}, {""id"": 369486484, ""node1"": 36327, ""node2"": 36246, ""type"": 30, ""w"": 26.0}, {""id"": 348326099, ""node1"": 36327, ""node2"": 36246, ""type"": 38, ""w"": 32.0}]",r_instr-1,110.0
référence,découpage,nmod,NOUN,0.4362274408340454,[],,
découpage,tranche,nmod,NOUN,0.4419931769371032,"[{""id"": 1035347325, ""node1"": 37587, ""node2"": 143123, ""type"": 0, ""w"": 35.0}, {""id"": 979291103, ""node1"": 37587, ""node2"": 143123, ""type"": 666, ""w"": 3.0}]",r_associated,35.0
tranche,pâte,nmod,NOUN,0.6362159848213196,[],,
découpage,utiliser,acl,VERB,0.4420911073684692,[],,
faire,référence,obj,NOUN,0.5014191269874573,[],,
plat,familial,amod,ADJ,0.5784727334976196,[],,
plat,ce,nsubj,PRON,0.418347030878067,[],,
style,utiliser,acl,VERB,0.4508005082607269,[],,
soupe,mélanger,acl,VERB,0.6931614279747009,"[{""id"": 15074003, ""node1"": 117152, ""node2"": 37151, ""type"": 26, ""w"": 30.0}]",r_patient-1,30.0
composition,dessert,nmod,NOUN,0.5834853053092957,[],,
mot,fil,nmod,NOUN,0.4404439628124237,[],,
désigner,pâte,obj,NOUN,0.6336711049079895,[],,
pâte,dire,acl,VERB,0.6628434062004089,[],,
pâte,cheveu,nmod,NOUN,0.6447585821151733,[],,
pâte,ange,nmod,NOUN,0.579447865486145,[],,
forme,ruban,nmod,NOUN,0.4672416746616363,[],,
faire,maison,obj,NOUN,0.5811029076576233,[],,
mot,seul,amod,ADJ,0.409944474697113,"[{""id"": 537941236, ""node1"": 32132, ""node2"": 25090, ""type"": 17, ""w"": 28.0}]",r_carac,28.0
livre,recette,nmod,NOUN,0.5988067388534546,"[{""id"": 797511876, ""node1"": 142787, ""node2"": 120188, ""type"": 0, ""w"": 26.0}]",r_associated,26.0
recette,arabe,amod,ADJ,0.5020090937614441,[],,
entourer,symbolique,nsubj,ADJ,0.4010464251041412,[],,
symbolique,spécial,amod,ADJ,0.4298222064971924,[],,
entourer,plat,obj,NOUN,0.6132836937904358,[],,
plat,contenir,acl:relcl,VERB,0.6232796311378479,[],,
reine,vie,nmod,NOUN,0.4388421773910522,[],,
