head,lemma,dep,pos,sim,relations,relation_name,w
pâtisserie,trouver,acl:relcl,VERB,0.5590440630912781,[],,
ensemble,gâteau,nmod,NOUN,0.5910915732383728,[],,
désigner,faire,advcl,VERB,0.4471100866794586,[],,
base,pâte,nmod,NOUN,0.6559011340141296,[],,
four,village,nmod,NOUN,0.6299216747283936,[],,
village,jour,appos,NOUN,0.4370721876621246,[],,
jour,pain,nmod,NOUN,0.6392521262168884,[],,
recette,nombreux,amod,ADJ,0.5949440598487854,[],,
exister,recette,obj,NOUN,0.5901581645011902,[],,
recette,salé,amod,ADJ,0.6763434410095215,[],,
confectionner,celui,nsubj:pass,PRON,0.4168286323547363,[],,
fête,Noël,nmod,PROPN,0.4062753617763519,"[{""id"": 133194, ""node1"": 144647, ""node2"": 143255, ""type"": 0, ""w"": 97.0}, {""id"": 602988653, ""node1"": 144647, ""node2"": 143255, ""type"": 8, ""w"": 30.0}, {""id"": 9970617, ""node1"": 144647, ""node2"": 143255, ""type"": 9, ""w"": 10.0}, {""id"": 15222613, ""node1"": 144647, ""node2"": 143255, ""type"": 27, ""w"": 21.0}, {""id"": 1599378, ""node1"": 144647, ""node2"": 143255, ""type"": 42, ""w"": 192.0}, {""id"": 18051144, ""node1"": 144647, ""node2"": 143255, ""type"": 64, ""w"": 707.0}, {""id"": 25658148, ""node1"": 144647, ""node2"": 143255, ""type"": 115, ""w"": 35.0}]",r_has_instance,707.0
forme,galette,nmod,NOUN,0.5586045980453491,"[{""id"": 798727122, ""node1"": 142000, ""node2"": 28590, ""type"": 0, ""w"": 22.0}]",r_associated,22.0
galette,pâte,nmod,NOUN,0.6553781032562256,"[{""id"": 98286717, ""node1"": 28590, ""node2"": 34069, ""type"": 0, ""w"": 30.0}, {""id"": 798292459, ""node1"": 28590, ""node2"": 34069, ""type"": 666, ""w"": 2.0}]",r_associated,30.0
galette,levée,amod,NOUN,0.4782298505306244,"[{""id"": 652206316, ""node1"": 28590, ""node2"": 7494, ""type"": 0, ""w"": 28.0}]",r_associated,28.0
