node1,node2,relations
concerner,cuisine,[]
cuisine,français,"[{""id"": 940911531, ""node1"": 16033, ""node2"": 144991, ""type"": 17, ""w"": 62.0}]"
chef,cuisinier,"[{""id"": 138148, ""node1"": 89926, ""node2"": 118790, ""type"": 0, ""w"": 230.0}, {""id"": 555813, ""node1"": 89926, ""node2"": 118790, ""type"": 5, ""w"": 95.0}, {""id"": 173427, ""node1"": 89926, ""node2"": 118790, ""type"": 6, ""w"": 135.0}, {""id"": 213978, ""node1"": 89926, ""node2"": 118790, ""type"": 8, ""w"": 106.0}, {""id"": 376997031, ""node1"": 89926, ""node2"": 118790, ""type"": 21, ""w"": 34.0}, {""id"": 14795658, ""node1"": 89926, ""node2"": 118790, ""type"": 23, ""w"": 23.0}, {""id"": 1692946, ""node1"": 89926, ""node2"": 118790, ""type"": 35, ""w"": 85.0}, {""id"": 2216975, ""node1"": 89926, ""node2"": 118790, ""type"": 41, ""w"": 53.0}, {""id"": 1029365405, ""node1"": 89926, ""node2"": 118790, ""type"": 67, ""w"": 29.0}, {""id"": 653283009, ""node1"": 89926, ""node2"": 118790, ""type"": 666, ""w"": 5.0}]"
Oasis,canne,[]
faire,précurseur,[]
cuisine,nouveau,"[{""id"": 957338566, ""node1"": 16033, ""node2"": 122439, ""type"": 0, ""w"": 22.0}]"
précurseur,cuisine,"[{""id"": 15309572, ""node1"": 7735, ""node2"": 16033, ""type"": 0, ""w"": 257.0}, {""id"": 14687733, ""node1"": 7735, ""node2"": 16033, ""type"": 3, ""w"": 253.0}]"
révolutionner,gastronomie,[]
gastronomie,français,[]
faire,apprentissage,[]
faire,restaurer,[]
temps,même,[]
chef,rare,[]
chef,histoire,"[{""id"": 60425142, ""node1"": 89926, ""node2"": 146367, ""type"": 0, ""w"": 40.0}, {""id"": 60194361, ""node1"": 89926, ""node2"": 146367, ""type"": 3, ""w"": 38.0}]"
travail,restaurer,[]
travailler,personnalité,[]
personnalité,gastronomie,[]
restaurant,habitude,[]
habitude,cuisiner,[]
restaurant,veste,[]
