node1,node2,relations
titre,gâteau,[]
gâteau,renverser,[]
gâteau,ananas,[]
ananas,chinois,[]
chinois,traditionnel,[]
pâtisserie,traditionnel,"[{""id"": 957285068, ""node1"": 25966, ""node2"": 41139, ""type"": 0, ""w"": 20.0}]"
pâtisserie,forme,[]
gâteau,petit,[]
forme,gâteau,[]
gâteau,individuel,[]
pâtisserie,gâteau,"[{""id"": 221403, ""node1"": 25966, ""node2"": 2149, ""type"": 0, ""w"": 213.0}, {""id"": 563926, ""node1"": 25966, ""node2"": 2149, ""type"": 5, ""w"": 200.0}, {""id"": 420864, ""node1"": 25966, ""node2"": 2149, ""type"": 6, ""w"": -22.0}, {""id"": 1971094, ""node1"": 25966, ""node2"": 2149, ""type"": 8, ""w"": 110.0}, {""id"": 377013302, ""node1"": 25966, ""node2"": 2149, ""type"": 20, ""w"": 35.0}, {""id"": 1677218, ""node1"": 25966, ""node2"": 2149, ""type"": 27, ""w"": 51.0}, {""id"": 11343032, ""node1"": 25966, ""node2"": 2149, ""type"": 28, ""w"": 48.0}, {""id"": 9111784, ""node1"": 25966, ""node2"": 2149, ""type"": 35, ""w"": 102.0}, {""id"": 2463111, ""node1"": 25966, ""node2"": 2149, ""type"": 41, ""w"": 111.0}, {""id"": 1789856, ""node1"": 25966, ""node2"": 2149, ""type"": 666, ""w"": 4.0}]"
pâtisserie,populaire,"[{""id"": 96365644, ""node1"": 25966, ""node2"": 19960, ""type"": 17, ""w"": 44.0}]"
croûte,base,[]
base,farine,[]
préparation,forme,"[{""id"": 21131235, ""node1"": 33634, ""node2"": 142000, ""type"": 0, ""w"": 30.0}]"
forme,pâte,[]
base,ananas,[]
base,frais,[]
courge,hiver,[]
ingrédient,composer,[]
couper,acidité,[]
forme,pavé,[]
pavé,nom,[]
celui,ananas,[]
arriver,prospérité,[]
pâtisserie,rare,[]
reste,origine,[]
reste,revendiquer,[]
exportation,ananas,[]
lier,conserve,[]
marché,entraîner,[]
entraîner,surplus,[]
surplus,local,[]
fruit,frais,[]
fruit,marché,"[{""id"": 187183, ""node1"": 87286, ""node2"": 146274, ""type"": 0, ""w"": 218.0}, {""id"": 394298, ""node1"": 87286, ""node2"": 146274, ""type"": 10, ""w"": 93.0}, {""id"": 199909, ""node1"": 87286, ""node2"": 146274, ""type"": 15, ""w"": 168.0}]"
revenu,agricole,[]
festival,gâteau,[]
festival,ananas,[]
ananas,organiser,[]
souvenir,alimentaire,[]
marché,pâtisserie,"[{""id"": 24372321, ""node1"": 146274, ""node2"": 25966, ""type"": 28, ""w"": 35.0}]"
industrie,agricole,[]
industrie,local,[]
industrie,ananas,[]
