head,lemma,dep,pos,sim,relations
donner,référence,obj,NOUN,0.4324645698070526,[]
préparation,culinaire,amod,ADJ,0.6475791931152344,"[{""id"": 601611802, ""node1"": 33634, ""node2"": 347, ""type"": 0, ""w"": 30.0}]"
préparation,propre,amod,ADJ,0.531373918056488,[]
préparation,région,nmod,NOUN,0.5048524141311646,[]
préparation,Algérie,nmod,PROPN,0.406726211309433,[]
purée,base,nmod,NOUN,0.6722885966300964,[]
purée,plante,nmod,NOUN,0.6519779562950134,[]
plante,famille,nmod,NOUN,0.4398281276226043,"[{""id"": 3262918, ""node1"": 145941, ""node2"": 98300, ""type"": 777, ""w"": 10.0}]"
lait,petit,amod,ADJ,0.6053019762039185,"[{""id"": 1794036, ""node1"": 86296, ""node2"": 55222, ""type"": 666, ""w"": 1.0}]"
huile,olive,nmod,NOUN,0.573360800743103,"[{""id"": 143577, ""node1"": 141971, ""node2"": 238, ""type"": 0, ""w"": 441.0}, {""id"": 580646, ""node1"": 141971, ""node2"": 238, ""type"": 5, ""w"": 35.0}, {""id"": 214590, ""node1"": 141971, ""node2"": 238, ""type"": 8, ""w"": 101.0}, {""id"": 9972834, ""node1"": 141971, ""node2"": 238, ""type"": 9, ""w"": 10.0}, {""id"": 96691611, ""node1"": 141971, ""node2"": 238, ""type"": 35, ""w"": 34.0}, {""id"": 1808072, ""node1"": 141971, ""node2"": 238, ""type"": 42, ""w"": 92.0}, {""id"": 653727906, ""node1"": 141971, ""node2"": 238, ""type"": 666, ""w"": 5.0}]"
servir,préparation,nsubj:pass,NOUN,0.5756478905677795,"[{""id"": 558790747, ""node1"": 7888, ""node2"": 33634, ""type"": 0, ""w"": 37.0}]"
plat,principal,amod,ADJ,0.5791923403739929,[]
mettre,fois,nsubj:pass,NOUN,0.4414891004562378,[]
fois,éplucher,acl,VERB,0.472023069858551,[]
eau,porter,acl,VERB,0.573002815246582,[]
cuisson,complet,amod,ADJ,0.6917276978492737,[]
heure,temps,nsubj,NOUN,0.4468083679676056,"[{""id"": 119279, ""node1"": 97587, ""node2"": 13861, ""type"": 0, ""w"": 343.0}, {""id"": 418441122, ""node1"": 97587, ""node2"": 13861, ""type"": 3, ""w"": 35.0}, {""id"": 53715946, ""node1"": 97587, ""node2"": 13861, ""type"": 5, ""w"": 131.0}, {""id"": 153066, ""node1"": 97587, ""node2"": 13861, ""type"": 6, ""w"": 243.0}, {""id"": 585927668, ""node1"": 97587, ""node2"": 13861, ""type"": 9, ""w"": -5.0}, {""id"": 404209, ""node1"": 97587, ""node2"": 13861, ""type"": 10, ""w"": 57.0}, {""id"": 539977474, ""node1"": 97587, ""node2"": 13861, ""type"": 15, ""w"": -25.0}, {""id"": 412483, ""node1"": 97587, ""node2"": 13861, ""type"": 20, ""w"": 61.0}, {""id"": 1569828, ""node1"": 97587, ""node2"": 13861, ""type"": 35, ""w"": 51.0}, {""id"": 1692119, ""node1"": 97587, ""node2"": 13861, ""type"": 666, ""w"": 3.0}]"
temps,cuisson,nmod,NOUN,0.6997374892234802,[]
écraser,cuire,advcl,VERB,0.6817107796669006,[]
obtention,purée,nmod,NOUN,0.6291316151618958,[]
purée,homogène,amod,ADJ,0.6248799562454224,[]
ajouter,mesure,nsubj:pass,NOUN,0.4526190459728241,[]
mesure,lait,nmod,NOUN,0.6021467447280884,[]
laisser,qui,nsubj:pass,PRON,0.4096141159534454,[]
feu,doux,amod,ADJ,0.5531697273254395,[]
temps,certain,amod,ADJ,0.4270433783531189,[]
cuire,temps,obj,NOUN,0.7196439504623413,"[{""id"": 1011357542, ""node1"": 5115, ""node2"": 13861, ""type"": 666, ""w"": 2.0}]"
incorporer,mesure,nsubj:pass,NOUN,0.4587868452072143,[]
mesure,semoule,nmod,NOUN,0.5992723107337952,[]
obtenir,préparation,nsubj,NOUN,0.4681846499443054,[]
temps,supplémentaire,amod,ADJ,0.4763387739658355,[]
verser,filet,nsubj:pass,NOUN,0.5624682903289795,[]
filet,huile,nmod,NOUN,0.6148978471755981,[]
ajout,beurre,nmod,NOUN,0.5932573080062866,[]
obtenir,mettre,nsubj,AUX,0.4044398963451385,[]
faire,famille,nsubj,NOUN,0.49000084400177,[]
faire,occasion,obj,NOUN,0.4511417746543884,[]
présenter,crue,advcl,NOUN,0.4796792864799499,[]
crue,cuire,amod,VERB,0.6892618536949158,[]
présenter,plante,nsubj,NOUN,0.4598771929740906,[]
reste,spécialité,obj,NOUN,0.5248614549636841,[]
spécialité,connaisseur,nmod,NOUN,0.4258322119712829,[]
