head,lemma,dep,pos,sim,relations,relation_name,w
concerner,cuisine,obj,NOUN,0.6019042730331421,[],,
cuisine,japonais,amod,ADJ,0.5706702470779419,[],,
maison,célèbre,amod,ADJ,0.4890103638172149,[],,
fabrique,gâteau,obj,NOUN,0.5957958102226257,[],,
gâteau,traditionnel,amod,ADJ,0.617279052734375,"[{""id"": 93362788, ""node1"": 2149, ""node2"": 41139, ""type"": 17, ""w"": 60.0}]",r_carac,60.0
gâteau,japonais,amod,ADJ,0.5793209671974182,[],,
apprendre,recette,obj,NOUN,0.6168344616889954,[],,
recette,portugais,nmod,NOUN,0.6065749526023865,[],,
marque,déposer,acl,VERB,0.4290319681167602,"[{""id"": 15048807, ""node1"": 143180, ""node2"": 35714, ""type"": 26, ""w"": 30.0}]",r_patient-1,30.0
pêche,Chine,nmod,PROPN,0.4321089386940002,"[{""id"": 3995454, ""node1"": 145624, ""node2"": 143291, ""type"": 777, ""w"": 9.0}]",r_wiki,9.0
quantité,grand,amod,ADJ,0.5105735659599304,"[{""id"": 1717406, ""node1"": 78869, ""node2"": 23178, ""type"": 17, ""w"": 10.0}]",r_carac,10.0
contenir,quantité,obj,NOUN,0.4772158563137054,[],,
quantité,œuf,nmod,NOUN,0.558605432510376,[],,
quantité,petit,amod,ADJ,0.5893296003341675,"[{""id"": 892024045, ""node1"": 78869, ""node2"": 55222, ""type"": 0, ""w"": 20.0}]",r_associated,20.0
quantité,poudre,nmod,NOUN,0.5831331014633179,[],,
service,œuf,nmod,NOUN,0.5410019755363464,[],,
fois,temple,nmod,NOUN,0.4183024168014526,[],,
utiliser,blanc,obj,NOUN,0.5205198526382446,[],,
blanc,œuf,nmod,NOUN,0.5384882688522339,"[{""id"": 796769193, ""node1"": 15196, ""node2"": 174124, ""type"": 0, ""w"": 28.0}]",r_associated,28.0
utiliser,jaune,obj,NOUN,0.5225818157196045,[],,
reprendre,production,nsubj,NOUN,0.4282088279724121,"[{""id"": 552170388, ""node1"": 125780, ""node2"": 13444, ""type"": 14, ""w"": 31.0}]",r_patient,31.0
