head,lemma,dep,pos,sim,relations
plat,tajine,nsubj,NOUN,0.6501595377922058,"[{""id"": 10905341, ""node1"": 36327, ""node2"": 68090, ""type"": 0, ""w"": 51.0}, {""id"": 9763843, ""node1"": 36327, ""node2"": 68090, ""type"": 8, ""w"": 53.0}]"
plat,traditionnel,amod,ADJ,0.6021727323532104,"[{""id"": 93507621, ""node1"": 36327, ""node2"": 41139, ""type"": 17, ""w"": 35.0}]"
plat,algérien,amod,ADJ,0.5756075978279114,"[{""id"": 372241933, ""node1"": 36327, ""node2"": 119333, ""type"": 17, ""w"": 26.0}]"
plat,base,nmod,NOUN,0.6491852402687073,[]
plat,originaire,appos,ADJ,0.6056763529777527,[]
tajine,poisson,nmod,NOUN,0.6669781804084778,"[{""id"": 4843259, ""node1"": 68090, ""node2"": 68467, ""type"": 777, ""w"": 10.0}]"
fait,viande,nsubj,NOUN,0.693294107913971,[]
marinade,utiliser,acl,VERB,0.6571958065032959,[]
poisson,appeler,acl,VERB,0.5629996061325073,[]
mets,faire,acl,VERB,0.527446985244751,[]
viande,haché,amod,ADJ,0.6585910320281982,[]
forme,doigt,nmod,NOUN,0.4529440104961395,"[{""id"": 836081011, ""node1"": 142000, ""node2"": 62706, ""type"": 0, ""w"": 20.0}]"
herbe,aromatique,amod,ADJ,0.5011574625968933,"[{""id"": 374762, ""node1"": 138874, ""node2"": 67664, ""type"": 17, ""w"": 83.0}, {""id"": 653275255, ""node1"": 138874, ""node2"": 67664, ""type"": 666, ""w"": 9.0}]"
préparer,plat,nsubj,NOUN,0.6393706202507019,"[{""id"": 364548852, ""node1"": 36246, ""node2"": 36327, ""type"": 0, ""w"": 34.0}, {""id"": 93534653, ""node1"": 36246, ""node2"": 36327, ""type"": 14, ""w"": 100.0}, {""id"": 376200958, ""node1"": 36246, ""node2"": 36327, ""type"": 16, ""w"": 31.0}, {""id"": 369486477, ""node1"": 36246, ""node2"": 36327, ""type"": 31, ""w"": 26.0}]"
