ingrédient,mexicain,amod,ADJ,0.5311728715896606
avocat,crème,acl,NOUN,0.567970335483551
pinceau,four,nmod,NOUN,0.6441405415534973
four,micro-onde,nmod,NOUN,0.6579254269599915
dorer,viande,obj,NOUN,0.6803589463233948
verser,sauce,obj,NOUN,0.6628547310829163
mijoter,minute,obj,NOUN,0.6123385429382324
mijoter,remuer,advcl,VERB,0.6055772304534912
remuer,temps,obj,NOUN,0.5274296998977661
four,micro-ondes,nmod,ADV,0.6501899361610413
four,180,nmod,NUM,0.4979606568813324
four,degré,nmod,NOUN,0.6147381663322449
four,c,nmod,NOUN,0.4225132167339325
ajouter,garniture,obj,NOUN,0.5877809524536133
garniture,choisir,acl,VERB,0.5425349473953247
