node1,node2,relations
pâtisserie,algérien,[]
pâtisserie,base,[]
base,amande,[]
pâtisserie,eau,"[{""id"": 957282646, ""node1"": 25966, ""node2"": 65012, ""type"": 0, ""w"": 22.0}, {""id"": 462782147, ""node1"": 25966, ""node2"": 65012, ""type"": 777, ""w"": 10.0}]"
eau,fleur,[]
eau,oranger,[]
préparer,lui,[]
farce,traditionnel,[]
pâte,amande,"[{""id"": 796691772, ""node1"": 34069, ""node2"": 28557, ""type"": 0, ""w"": 22.0}]"
farce,amande,[]
amande,lier,[]
tenir,pâtisserie,[]
soleil,petit,[]
signifier,soleil,[]
