head,lemma,dep,pos,sim,relations
source,seul,amod,ADJ,0.4328785538673401,[]
plat,camerounais,amod,ADJ,0.562751293182373,[]
plat,base,nmod,NOUN,0.6491852402687073,[]
base,plante,nmod,NOUN,0.5253300666809082,[]
base,potager,amod,ADJ,0.5776232481002808,[]
plat,huile,nmod,NOUN,0.7053117156028748,[]
huile,palme,nmod,NOUN,0.5269218683242798,"[{""id"": 398743, ""node1"": 141971, ""node2"": 14658, ""type"": 0, ""w"": 65.0}, {""id"": 580649, ""node1"": 141971, ""node2"": 14658, ""type"": 5, ""w"": 34.0}, {""id"": 1793669, ""node1"": 141971, ""node2"": 14658, ""type"": 666, ""w"": 1.0}]"
spécialité,population,nmod,NOUN,0.4270739555358886,[]
spécialité,établir,acl,VERB,0.4203311502933502,[]
accompagner,plat,nsubj,NOUN,0.613329291343689,[]
contenir,recette,nsubj,NOUN,0.636847972869873,[]
recette,base,nmod,NOUN,0.6212873458862305,[]
poisson,fumé,amod,ADJ,0.5773400664329529,"[{""id"": 477559039, ""node1"": 68467, ""node2"": 23335, ""type"": 17, ""w"": 44.0}]"
peau,bœuf,nmod,NOUN,0.5905324220657349,"[{""id"": 10256209, ""node1"": 109785, ""node2"": 168216, ""type"": 10, ""w"": 11.0}]"
ensemble,ingrédient,nmod,NOUN,0.5564963221549988,[]
base,légume,nmod,NOUN,0.6855320930480957,[]
légume,composer,acl,VERB,0.6266721487045288,[]
peau,vache,nmod,NOUN,0.4692327082157135,"[{""id"": 127489, ""node1"": 109785, ""node2"": 138501, ""type"": 0, ""w"": 52.0}, {""id"": 559114, ""node1"": 109785, ""node2"": 138501, ""type"": 5, ""w"": 27.0}, {""id"": 9979875, ""node1"": 109785, ""node2"": 138501, ""type"": 10, ""w"": 4.0}]"
